"Market Participant ID","Market Participant Name","Pool Member ID"
"MICL","MERIDIAN INFRASTRUCTURE",""
"MIDE","Midlands Electricity plc","MIDE"
"MINN","MINNESOTA ENERGY LIMITED","MINN"
"MINT","Toucan Energy Limited","MINT"
"MISS","Voltx Power Ltd","MISS"
"MLBB","Macquarie Leasing Limited",""
"MLLA","Macquarie Leasing Limited",""
"MMAL","Magnum Meter Finance Ltd",""
"MMSL","Fulcrum Metering Services Ltd",""
"MOMT","Momentum Utility Services Ltd",""
"MONT","British Gas Trading Ltd","MONT"
"MOPL","Meter Operators Ltd",""
"MORR","M GROUP ENERGY (METERING) Ltd","MORR"
"MPDL","mua Electricity Limited",""
"MRCY","Octopus Energy Limited","MRCY"
"MRSL","Meter Reading Services Ltd",""
"MSCG","Morgan Stanley Capital Grp Inc","MSCG"
"MSSL","Syndicate City Limited",""
"MTER","MI Glasgow Limited",""
"MTRL","Brook Green Trading Limited","MTRL"
"NATP","Npower Commercial Gas Ltd","NATP"
"NCKL","OVO Electricity Limited","OVOE"
"NEEB","Npower Limited","NEEB"
"NELC","British Energy Generation Ltd","NELC"
"NESL","Northern Energy Services Ltd",""
"NEVA","VERSA ENERGY LIMITED","NEVA"
"NEWP","Shell Energy UK Ltd.","NEWP"
"NGAS","NGC Ancillary Services","NGAS"
"NGCP","First Hydro Company","NGCP"
"NGCY","National Grid Company",""
"NGIB","NGC Interconnections Business","NGIB"
"NGTL","Killingholme Power Limited","NGTL"
"NHHA","NHH Asset MS Network",""
"NHUK","Norsk Hydro UK Ltd","NHUK"
"NMSL","NELSON METERING SERVICES LTD",""
"NONE","SMETS Meter No Longer Fitted",""
"NORW","Electricity North West Limited","NORW"
"NPML","Northern Powergrid Metering","NPML"
"NPOW","INNOGY Plc","NATP"
"NTWL","Nitrogen Two Ltd","NTWL"
"NUCE","Magnox Electric plc","NUCE"
"NXTS","Renantis Energy Trading UK","NXTS"
"OBEL","Home Energy Trading Limited","OBEL"
"OBER","Addito Energy Limited","OBER"
"OEPD","OCTOPUS ENERGY SERVICES LTD",""
"OESL","OCTOPUS ENERGY SERVICES LTD",""
"OFTM","Foxglove Energy Supply","OFTM"
"OGAS","British Gas Trading Ltd","BGAS"
"OHIO","OHIO ENERGY LIMITED","OHIO"
"OMNI","Utilita Energy Limited","OMNI"
"OMSL","OAKMERE METERING SERVICES LTD",""
"ONGE","Orange Limited",""
"ONSA","OnStream",""
"ONSE","OnStream",""
"ONST","UMSL, trading as OnStream",""
"OPAL","Avid Energy limited","OPAL"
"OREB","British Gas Trading Ltd","OREB"
"OREG","British Gas Trading Limited","OREG"
"OSMI","BRISTOL ENERGY","OSMI"
"OTWO","O2",""
"OVAL","Oval Energy Limited","OVAL"
"OVOE","OVO Electricity LTD","OVOE"
"OXPO","Opus Energy Limited","OXPO"
"PADD","Fuse Energy Supply Limited","PADD"
"PALL","Palladium Energy Supply Ltd","PALL"
"PARK","One Wales Energy Ltd",""
"PAYG","Omni Assets Ltd",""
"PCHP","PowerGen Combined Heat & Power","PCHP"
"PDAL","Power Data Associates Ltd",""
"PENL","Leep Electricity Networks Ltd","PENL"
"PERL","Perle Energy Limited","PERL"
"PESL","Powertec Electrotechnical Svcs",""
"PETE","Peterborough Power Ltd","PETE"
"PETX","Pentex (East Midlands) Ltd",""
"PGEN","Eon Energy Solutions Ltd","PGEN"
"PILO","Scottish Power Energy Retail","PILO"
"PION","E.ON Next Energy Ltd","PION"
"PIRO","Piranello Energy Supply Ltd","PIRO"
"PLEX","PLEXUS TECHNOLOGY LIMITED",""
"PLUS","MeterPlus",""
"PMSL","PRESTON METERING SERVICES LTD",""
"POML","Powermet Ltd",""
"POOL","ELEXON Limited",""
"POWQ","Hartree Partners Supply UK","POWQ"
"PRIM","PRI Ltd",""
"PRIP","PRI Ltd",""
"PROE","Pro EV Group Ltd","PROE"
"PROZ","DYCE ENERGY LTD","PROZ"
"PSUK","Npower Ltd","PSUK"
"PTPT","British Gas Trading Ltd","PTPT"
"PURE","Good Energy Limited","PURE"
"PUTY","Scope Energy Solutions Limited","PUTY"
"QEEN","Octopus Energy Operations2 Ltd","QEEN"
"QHSL","Quality Heating Services Ltd",""
"QSSL","QUANTUM SMART SOLUTIONS",""
"RAYL","Victory Energy Supply Limited","RAYL"
"RBOS","Royal Bank of Scotland","RBOS"
"REBE","British Gas Trading Ltd","BGAS"
"REGE","Octopus Energy Operations Ltd","REGE"
"REGP","Regional Power Generators","REGP"
"RENC","Ecotricity Limited","RENC"
"RESL","Rodgers Electrical Services Ld",""
"RGAS","Regent Gas","RGAS"
"RHOD","Utilita Energy Limited","RHOD"
"ROAM","Dummy Id for Roaming SIMS",""
"ROCK","Rocksavage Power Company Ltd","ROCK"
"ROSE","E.ON Next Energy Ltd","ROSE"
"RUGE","TXU Europe Rugeley Ltd","RUGE"
"RUTH","Total Gas & Power Limited","RUTH"
"RUTL","Regent Power Limited","RUTL"
"RWED","ENGIE Power Limited","RWED"
"SAFL","Solutions Asset Finance Ltd",""
"SALT","Senapt Assets Limited",""
"SANT","British Gas Trading Ltd","BGAS"
"SAPH","Electroroute Energy Limited","SAPH"
"SATU","Satus Energy Limited","SATU"
"SCAF","Valda Energy limited","SCAF"
"SCEL","SQE Energy Limited","SCEL"
"SCHL","Schlumberger Industries Ltd",""
"SCOP","Scope Utility Solutions Ltd",""
"SCOR","Highland Electricity Limited","SCOR"
"SCPL","South Coast Power Limited","SCPL"
"SEAB","Seabank Power Limited",""
"SECL","Spalding Energy Company Ltd",""
"SECU","Secus Ltd",""
"SEEB","EDF Energy Customers Limited","SEEB"
"SEEE","Shell Energy Europe","SEEE"
"SEEL","Sempra Energy Europe Limited","SEEL"
"SEML","Simply Electric Metering Ltd",""
"SEOA","Scottish & Southern Energy Plc",""
"SESL","Scottish Electricity Settlemen",""
"SGNS","Maple TopCo Limited","SGNS"
"SHEL","Shell Power Ltd","SHEL"
"SIEM","Siemens MCS",""
"SIMC","Simcoe Energy Limited","SIMC"
"SING","United Gas & Power Trading Ltd","SING"
"SINQ","Sinq Power Ltd","SINQ"
"SIRO","Hudson Energy Supply UK Ltd","SIRO"
"SITI","Sitigrid Ltd",""
"SKID","Radius Energy Ltd","SKID"
"SKLN","Keep Energy Limited","SKLN"
"SLOU","Slough Energy Supplies Ltd","SLOU"
"SLVR","Pozitive Energy Limited","SLVR"
"SMAE","SmartestEnergy Limited","SMAE"
"SMAL","SmartestEnergy Limited","SMAL"
"SMAP","Smart Meter Assets 1 Limited",""
"SMAR","SmartestEnergy Limited","SMAR"
"SMAT","SMAP Technologies Limited","SMAT"
"SMLU","Secure Meters (UK) Limited",""
"SMML","Foresight Metering Limited",""
"SNCL","Stanor National Contracts Ltd",""
"SNFR","Sunflower Energy Supply Ltd","SNFR"
"SOLE","Solarplicity Energy Limited","SOLE"
"SOUT","OVO Electricity LTD","OVOE"
"SPAL","Home Energy Trading Ltd","SPAL"
"SPOW","SP Distribution PLC","SPOW"
"SPRK","Ovo Electricity Limited","SPRK"
"SPSM","SP Smart Meter Assets Limited",""
"SQKY","SQE Energy Limited","SQKY"
"SSIL","Stark Software International",""
"SSSG","Actavo Network Solutions UK",""
"STAT","Statkraft Markets GMBH","STAT"
"STCL","St Clements Services",""
"STRK","Stark Infra-Electricity Ltd",""
"SUFL","STARK UTILITY FUNDING LIMITED",""
"SWAE","OVO Electricity LTD","OVOE"
"SWDP","Snowdrop Energy Supply Limited","SWDP"
"SWEB","EDF Energy Customers Limited","SWEB"
"SWEL","OVO (S) Electricity Limited","SWEL"
"SYMB","E.ON Next Energy Ltd","SYMB"
"SYSC","Syseca Ltd",""
"TANA","SANTANA ENERGY LIMITED","TANA"
"TCGP","The Challenge Group",""
"TEAM","The Team Group of Companies UK","TEAM"
"TEBL","The Electricity Board Ltd",""
"TEGP","TotalEnergies Gas & Power Ltd","TEGP"
"TELS","Thrift Energy Limited",""
"TEMP","Temple Energy Limited",""
"TESG","TESGL LIMITED","TESG"
"TESI","Teesside Power Ltd","TESI"
"TEXA","Commotex Limited","TEXA"
"TGPL","TotalEnergies Gas & Power Ltd","TGPL"
"THLE","Scottish Power Energy Retail","THLE"
"THRE","Corona Energy Retail 4 Limited","THRE"
"TILL","British Gas Trading Ltd","TILL"
"TLWD","Unify Energy Limited","TLWD"
"TMOB","T-Mobile",""
"TNDO","Pozitive Energy Limited","TNDO"
"TOGO","Together Energy Supply Limited","TOGO"
"TONB","Scottish Power Energy Retail","TONB"
"TOTO","EDF Energy Customers Limited","TOTO"
"TRAM","Jellyfish Energy Limited","TRAM"
"TREX","Power4All","TREX"
"TROJ","TMA Data Management Ltd","TROJ"
"TRUR","TruRead Limited",""
"TULP","Octopus Energy Operations2 Ltd","TULP"
"UCGO","Yu Energy Retail Limited","UCGO"
"UDMS","TMA Data Management Ltd",""
"UDNL","Energy Assets Networks Limited","UDNL"
"UEDS","Utilita Energy Limited","UEDS"
"UESL","Utility Energy Solutions Ltd",""
"UFUN","Horizon E I Limited",""
"UGAP","United Gas Power Trading Ltd","SING"
"UKDC","IMServ Europe Ltd","UKDC"
"UKEL","UK Electric Power Ltd",""
"UKEP","UK Electric Power","UKEP"
"UKMS","UK Power Networks Metering",""
"UKPD","UK Power Distribution Limited",""
"UKPR","UK Power Reserve Limited","UKPR"
"ULCL","United Living Connected Ltd",""
"UMLD","UML Ltd","UMLD"
"UMOL","Utilita Energy Limited",""
"UPLD","SMS Energy Services Ltd",""
"UPLH","SMS Energy Services Ltd",""
"UPLX","Utility Partnership Ltd",""
"UTAH","UTAH ENERGY LIMITED","UTAH"
"UTAL","Utility Assets Limited","UTAL"
"UTFL","Amey Metering Limited",""
"UTLX","Utilyx Limited",""
"UUCO","E.ON ENERGY SOLUTIONS LIMITED",""
"UUMO","E.ON ENERGY SOLUTIONS LIMITED",""
"UUNL","Meter Fit North East/West Ltd",""
"UUUU","ELEXON - PARMS",""
"UWBE","Electricity Plus Supply Ltd","BNRG"
"UWDS","Electricity Plus Supply Ltd","BNRG"
"VATT","Vattenfall Networks Ltd",""
"VAVU","Vavu Power Limited","VAVU"
"VEPN","Vital Energi Power Networks","VEPN"
"VERM","DIGITAL POWER ENERGY SUPPLY UK","VERM"
"VETS","Vattenfall Energy Trading GmbH","VETS"
"VIPR","Viper Energy Supply Ltd","VIPR"
"VIRG","Octopus Energy Operations2 Ltd","VIRG"
"VITA","EDF Energy Customers Limited","VITA"
"VLTR","Voltari Services Ltd",""
"VMMA","Vantage Meters (MAP 1) Limited",""
"VNGA","Stallion Energy Supply Ltd","VNGA"
"VNQT","UC Energy Ltd","VNQT"
"VODA","Vodafone Limited",""
"VOLT","Co-operative Energy Limited","VOLT"
"VSTR","Voltx Power","VSTR"
"WASH","EDF Energy Customers Limited","WASH"
"WBUR","TXU Europe West Burton Ltd","WBUR"
"WGAS","Western Gas Ltd","WGAS"
"WILL","Willamette Energy Limited","WILL"
"WINT","Winterton Power Ltd","WINT"
"WKEL","B.Watkins Electrical",""
"WPDR","Western Power Data Retriever",""
"WPEM","Western Power East Midlands",""
"WPRM","Stark Connect Ltd",""
"WPSM","Stark Connect Ltd",""
"WPSW","Western Power Dist South West",""
"WPWA","Western Power Dist South Wales",""
"WPWM","Western Power West Midlands",""
"WPYC","We Power Your Car Ltd",""
"WREL","Utility Link Limited","WREL"
"YBGA","SP British Gas Trading","SPOW"
"YEEL","SP Eastern Electricity","SPOW"
"YELG","Npower Limited","YELG"
"YEME","SP East Midland Electricity","SPOW"
"YHYD","SP Hydro Electric","SPOW"
"YIND","SP Independent Energy (UK) Ltd","SPOW"
"YLON","SP London Electricity","SPOW"
"YMID","SP Midlands Electricity","SPOW"
"YNAT","SP National Power","SPOW"
"YNEE","SP Northern Electric","SPOW"
"YNEL","SP Nuclear Electric","SPOW"
"YNOR","SP NORWEB","SPOW"
"YNRG","Scottish Power Energy Retail","YNRG"
"YNUC","SP Magnox Electric","SPOW"
"YPGE","SP PowerGen","SPOW"
"YSEE","SP SEEBOARD","SPOW"
"YSOU","SP Southern Electric","SPOW"
"YSPO","SP Scottish Power plc","SPOW"
"YSWA","SP South Wales Electricity","SPOW"
"YSWE","SP South Western Electricity","SPOW"
"YUSL","Yu-Smart Ltd",""
"YYEL","SP Yorkshire Electricity","SPOW"
"ZEEL","HE Eastern Electricity","HYDE"
"ZEME","HE East Midland Electricity","HYDE"
"ZHYD","HE Scottish Hydro Electric plc","HYDE"
"ZIND","HE Independent Energy (UK) Ltd","HYDE"
"ZLON","HE London Electricity","HYDE"
"ZMID","HE Midlands Electricity","HYDE"
"ZNAT","HE National Power","HYDE"
"ZNEE","HE Northern Electric","HYDE"
"ZNOR","HE NORWEB","HYDE"
"ZOGE","EDF Energy Customers Limited","ZOGE"
"ZPGE","HE PowerGen","HYDE"
"ZPYR","EDF Energy Customers Limited","ZPYR"
"ZSEE","HE SEEBOARD","HYDE"
"ZSOU","HE Southern Electric plc","HYDE"
"ZSPO","HE ScottishPower","HYDE"
"ZSWA","HE South Wales Electricity","HYDE"
"ZTAR","REA AGENT ONLY (IMServ Europe)","UKDC"
"ZYEL","HE Yorkshire Electricity","HYDE"
"ZYTH","Zythos Energy Limited","ZYTH"
"ZZAA","Dummy NHHDA for Eastern",""
"ZZAB","Dummy NHHDA for East Midlands",""
"ZZAC","Dummy NHHDA for London",""
"ZZAD","Dummy NHHDA for Manweb",""
"ZZAE","Dummy NHHDA for Midlands",""
"ZZAF","Dummy NHHDA for Northern",""
"ZZAG","Dummy NHHDA for Norweb",""
"ZZAH","Dummy NHHDA for Southern",""
"ZZAJ","Dummy NHHDA for Seeboard",""
"ZZAK","Dummy NHHDA for SWALEC",""
"ZZAL","Dummy NHHDA for SWEB",""
"ZZAM","Dummy NHHDA for Yorkshire",""
