"Market Participant ID","Market Participant Name","Pool Member ID"
"DNEB","ZEUSA ENERGY LIMITED","DNEB"
"DNRG","Donnington Energy Limited","DNRG"
"DRAC","Dracus Energy Supply Limited","DRAC"
"DRAK","TXU Europe Drakelow Ltd","DRAK"
"DRAX","Drax Power Ltd","DRAX"
"DRGI","UK Healthcare Corporation Ltd","DRGI"
"DRNC","Conrad Energy (Trading) Ltd","DRNC"
"DUAL","SmartestEnergy Business Ltd","DUAL"
"DUDG","Dudgeon Offshore Wind Ltd",""
"DUNL","Solace Utilities Ltd","DUNL"
"EAHH","Energy Assets Group Limited",""
"EAMM","Energy Assets Metering MAP",""
"EASL","Electricity Assn Services Ltd",""
"EBES","Ruby Electricity Ltd","EBEA"
"ECOA","British Gas Trading Ltd","BGAS"
"ECOB","EnergyCo2 Ltd","ECOB"
"ECOE","ECOES SERVICE PROVIDER",""
"ECON","E.ON Energy Solutions Limited","ECON"
"ECOT","ECOTRICITY LIMITED","ECOT"
"ECSM","ECS Metering Services",""
"EDCO","Energy Data Company Ltd","EDCO"
"EDDI","British Gas Trading Limited","EDDI"
"EDEF","EDF Production Transport","EDEF"
"EDFE","EDF Energy Customers Limited","EDFE"
"EDFI","UK Power Networks (IDNO)",""
"EDGE","Edgware Energy Limited","EDGE"
"EDIR","Electricity Direct Ltd","EDIR"
"EECL","Enfield Energy Centre Limited",""
"EELC","Eastern Electricity","EELC"
"EENG","E.ON Energy Ltd","EENG"
"EESL","Economy Energy Supply Limited","EESL"
"EETL","OVO Electricity Limited","EETL"
"EFLS","Octopus Energy Limited","EFLS"
"EFPL","Edison First Power Ltd","EFPL"
"EGDX","E (Gas and Electricity) Ltd","EGDX"
"EGML","E E Solutions Limited","EGML"
"EGRE","Egret Services Limited",""
"EHES","Evolve Home Energy Solutions",""
"EISD","Elexon Limited",""
"ELEC","ELECTRAPHASE LIMITED","ELEC"
"ELED","ELEDOR LIMITED","ELED"
"ELME","Elm Energy & Recycling UK Ltd","ELME"
"ELSS","Elexon Limited",""
"EMAP","COMPLETE METERING LIMITED",""
"EMDS","Elexon Limited",""
"EMEB","East Midlands Electricity plc","EMEB"
"EMGE","TXU Europe Merchant Generation","EMGE"
"EMSL","Magnum Utilities Limited","EMSL"
